Title,Author,Genre,Rating_Average,Rating_Counts,Description,Page_Numbers,ISBN,Language,Published_Year,Cover_URL,Book_Link
"The life of Olaudah Equiano, or Gustavus Vassa, the African",Olaudah Equiano,"Slavery, Voyages and travels, Social life and customs",4.0,5.0,"PERMIT me with the greatest deference and respect, to lay at your feet the following genuine Narrative; the chief design of which is to excite in your august assemblies a sense of compassion for the miseries which the Slave Trade has entailed on my unfortunate countrymen.",241,1528705653,eng,1789,https://covers.openlibrary.org/b/id/2074044-L.jpg,https://openlibrary.org/works/OL743333W
Autobiography of a Yogi,Yogananda Paramahansa,"Autobiography, Yogis, Yoga",4.1860466,43.0,THE CHARACTERISTIC FEATURES of Indian culture have long been a search for ultimate verities and the concomitant disciple-guru relationship.,514,9781565897342,eng,1946,https://covers.openlibrary.org/b/id/805448-L.jpg,https://openlibrary.org/works/OL528094W
Lives,Plutarch,"Biography, Classical biography, Early works to 1800",3.375,8.0,"As geographers, Sosius, crowd into the edges of their maps parts of the world which they do not know about, adding notes in the margin to the effect, that beyond this lies nothing but sandy deserts full of wild beasts, unapproachable bogs, Scythian ice, or a frozen sea, so in this work of mine, in which I have compared the lives of the greatest men with another, after passing through those periods which probable reasoning can reach to and real history find a footing in, I might very well say of those that are farther off: ""Beyond this there is nothing but prodigies and fictions, the only inhabitants are the poets and inventors of fables; there is no credit, or certainty any farther.""",483,9780375756764,grc,1564,https://covers.openlibrary.org/b/id/10679669-L.jpg,https://openlibrary.org/works/OL2521179W
Narrative of the life of Frederick Douglass,Frederick Douglass,"Douglass, frederick, 1818-1895, Biography, African American abolitionists",4.3333335,12.0,Frederick Douglass was the most important African American leader and intellectual of the nineteenth century.,127,9798698409281,und,1845,https://covers.openlibrary.org/b/id/8247724-L.jpg,https://openlibrary.org/works/OL69178W
Les confessions,Jean-Jacques Rousseau,"French Authors, Biography, Correspondence",4.5,4.0,No description available,606,034180844X,eng,1782,https://covers.openlibrary.org/b/id/6371045-L.jpg,https://openlibrary.org/works/OL80592W
The Story of Philosophy,Will Durant,"Philosophers, Philosophy, History",4.2,15.0,"IF YOU look at a map of Europe you will observe that Greece is a skeleton-like hand stretching its crooked fingers out into the Mediterranean Sea, South of it lies the great island of Crete, from which those grasping fingers captured, in the second millennium before Christ, the beginnings of civilization and culture.",543,1512110353,urd,1926,https://covers.openlibrary.org/b/id/405360-L.jpg,https://openlibrary.org/works/OL1073898W
Terre des hommes,Antoine de Saint-Exupéry,"20th century, Aeronautics, Air pilots",4.2352943,17.0,"In 1926 I was enrolled as student airline pilot by the Latecoere Company, the predecessors of Aeropostale (now Air France) in the operation of the line between Toulouse, in southwestern France, and Dakar, in French West Africa.",222,9781388227470,fre,1936,https://covers.openlibrary.org/b/id/967072-L.jpg,https://openlibrary.org/works/OL86701W
Der Antichrist,Friedrich Nietzsche,"Christianity, Controversial literature, Antichrist",3.75,20.0,LET us look each other in the face.,92,1727031393,eng,1895,https://covers.openlibrary.org/b/id/1759313-L.jpg,https://openlibrary.org/works/OL15692719W
American notes,Charles Dickens,"Description and travel, Social life and customs, Travel",,,"I SHALL never forget the one-fourth serious and three-fourths comical astonishment, with which, on the morning of the third of January eighteen-hundred-and-forty-two, I opened the door of, and put my head into, 'state-room' on board the Britannia steam-packet, twelve hundred tons burthen per register, bound for Halifax and Boston, and carrying Her Majesty's mails.",266,9781727717983,eng,1800,https://covers.openlibrary.org/b/id/8236357-L.jpg,https://openlibrary.org/works/OL8300173W
Incidents in the Life of a Slave Girl,Harriet A. Jacobs,"Women slaves, United States, Slaves",3.8888888,9.0,I was born a slave; but I never knew it till six years of happy childhood had passed away.,236,1547127252,dut,1861,https://covers.openlibrary.org/b/id/411542-L.jpg,https://openlibrary.org/works/OL28623W
An autobiography,Mohandas Karamchand Gandhi,"Biography & Autobiography, Nonfiction, Biography",4.15,20.0,q,420,1704853117,eng,1927,https://covers.openlibrary.org/b/id/108086-L.jpg,https://openlibrary.org/works/OL298031W
Twelve years a slave,Solomon Northup,"Slavery, Plantation life, History",4.4444447,9.0,"Having been born a freeman, and for more than thirty years enjoyed the blessings of liberty in a free State-and having at the end of that time been kidnapped and sold into Slavery, where I remained, until happily rescued in the month of January, 1853, after a bondage of twelve years-it has been suggested that an account of my life and fortunes would not be uninteresting to the public.",233,1772751588,eng,1853,https://covers.openlibrary.org/b/id/14856045-L.jpg,https://openlibrary.org/works/OL78871W
Confessions,Augustine of Hippo,"Religious aspects of Truth, Christian saints, Christianity",4.4761906,21.0,"(1) You are great, O Lord, and greatly to be praised: great is your power and to your wisdom there is no limit.",351,9788473923774,eng,1482,https://covers.openlibrary.org/b/id/9022521-L.jpg,https://openlibrary.org/works/OL137872W
Up from Slavery,Booker T. Washington,"Washington, booker t., 1856-1915, African americans, biography, Educators, united states",4.3333335,9.0,"I WAS born a slave on a plantation in Franklin County, Virginia.",192,9780821601846,urd,1900,https://covers.openlibrary.org/b/id/119317-L.jpg,https://openlibrary.org/works/OL357501W
The Autobiography of Benjamin Franklin,Benjamin Franklin,"Wills, Scientists, Printers",3.9791667,48.0,"TWYFORD, at the Bishop of St. Asaph's, 1771.",214,9781512405262,eng,1791,https://covers.openlibrary.org/b/id/5647361-L.jpg,https://openlibrary.org/works/OL26492W
Tuesdays with Morrie,Mitch Albom,"memoir, ALS, sociology",3.85,80.0,"The last class of my old professor's life took place once a week in his house, by a window in the study where he could watch a small hibiscus plant shed its pink leaves.",199,2915056935,eng,1994,https://covers.openlibrary.org/b/id/12560417-L.jpg,https://openlibrary.org/works/OL1822313W
A Mind That Found Itself,Clifford Whittingham Beers,"1876-1943, Biography, Care",3.8,5.0,"This story is derived from as human a document as ever existed; and, because of its uncommon nature, perhaps no one thing contributes so much to its value as its authenticity.",190,1977592996,eng,1908,https://covers.openlibrary.org/b/id/10857476-L.jpg,https://openlibrary.org/works/OL6322288W
Se questo è un uomo,Primo Levi,"Auschwitz (Concentration camp), World War, 1939-1945, Italian Personal narratives",4.2727275,22.0,"Tuve la suerte de no ser deportado a Auschwitz hasta 1944, y después de que el gobierno alemán hubiera decidido, a causa de la escasez creciente de mano de obra, prolongar la media de vida de los prisioneros que iba a eliminar concediéndoles mejoras notables en el tenor de vida y suspendiendo temporalmente las matanzas dejadas a merced de particulares.",206,1617201685,eng,1947,https://covers.openlibrary.org/b/id/1049023-L.jpg,https://openlibrary.org/works/OL860066W
Homage to Catalonia,George Orwell,"English Personal narratives, Communism, Travel",4.230769,26.0,No description available,246,9798848410174,eng,1938,https://covers.openlibrary.org/b/id/7282177-L.jpg,https://openlibrary.org/works/OL1168169W
Good wives,Louisa May Alcott,"Soeurs, Femmes mariées, Fiction",4.2,10.0,"IN ORDER THAT we may start fresh and go to Meg's wedding with free minds, it will be well to begin with a little gossip about the Marches.",320,9781780943268,eng,1870,https://covers.openlibrary.org/b/id/12147640-L.jpg,https://openlibrary.org/works/OL16894032W
Mein Kampf,Adolf Hitler,"Politics and government, Nationalsozialistische Deutsche Arbeiter-Partei, National socialism",4.0384617,52.0,I dag ser jeg det som et lykketreff at skjebnen ville at jeg skulle bli født nettopp i Braunau am Inn.,614,1978162596,eng,1922,https://covers.openlibrary.org/b/id/12724015-L.jpg,https://openlibrary.org/works/OL1067314W
... Trotzdem Ja zum Leben sagen,Viktor E. Frankl,"Nazi concentration camps, psychotherapy, meaning of life",4.2843137,204.0,"THIS BOOK DOES NOT claim to be an account of facts and events but of personal experiences, experiences which millions of prisoners have suffered time and time again.",165,0671454625,srp,1946,https://covers.openlibrary.org/b/id/8516506-L.jpg,https://openlibrary.org/works/OL1268413W
Walden,Henry David Thoreau,"Biography, Homes and haunts, American Authors",3.909091,33.0,"WHEN I WROTE the following pages, or rather the bulk of them, I lived alone, in the woods, a mile from any neighbor, in a house which I had built myself, on the shore of Walden Pond, in Concord, Massachusetts, and earned my living by the labor of my hands only.",268,9781774419724,eng,1854,https://covers.openlibrary.org/b/id/11248037-L.jpg,https://openlibrary.org/works/OL55649W
Lilith,George MacDonald,"Fiction, romance, fantasy, Fiction, general, Non-Classifiable",3.2,5.0,"I had just finished my studies at Oxford, and was taking a brief holiday from work before assuming definitely the management of the estate.",270,1406530042,fre,1895,https://covers.openlibrary.org/b/id/14364546-L.jpg,https://openlibrary.org/works/OL15437W
Poems by John Keats,John Keats,"English poetry, Correspondence, English Poets",4.2,5.0,"I stood tiptoe upon a little hill,",337,9780192541949,eng,1800,https://covers.openlibrary.org/b/id/5635209-L.jpg,https://openlibrary.org/works/OL1455259W
Mémoires,Giacomo Casanova,"Biography, Adventure and adventurers, Casanova, giacomo, 1725-1798",3.2916667,24.0,"""YESTERDAY,"" SHE said, ""you left with me two portraits of my Venetian sister M. M. I beg you to make me a present of them.""",320,9781781393796,eng,1830,https://covers.openlibrary.org/b/id/9556873-L.jpg,https://openlibrary.org/works/OL1156251W
Das Schloß,Franz Kafka,"Fiction, Bureaucracy, Castles",4.5652175,23.0,IT WAS late in the evening when K. arrived.,386,3353001832,eng,1926,https://covers.openlibrary.org/b/id/12605605-L.jpg,https://openlibrary.org/works/OL498434W
Angela's Ashes,Frank McCourt,"Irish Americans, Irlandeses-americanos, Family",3.8333333,54.0,My father and mother should have stayed in New York where they met and married and where I was born.,432,0007117477,eng,1996,https://covers.openlibrary.org/b/id/8231802-L.jpg,https://openlibrary.org/works/OL27634W
The Pilgrim's Progress,John Bunyan,"Bibliography, Readers, Fiction",4.35,20.0,"THE seventeenth century was singularly prolific in great writers, religious and secular; and the one who in his origin was the humblest them, and in his educational advantages the most unfortunate-John Bunyan-is now, after an interval of a couple of hundred years, the best known and the most popular of them all.",308,0343574527,gla,1678,https://covers.openlibrary.org/b/id/8229224-L.jpg,https://openlibrary.org/works/OL107195W
The Complete Life and Adventures of Santa Claus,L. Frank Baum,"Fantasy, Fiction, Juvenile Fiction",4.25,4.0,HAVE you heard of the great Forest of Burzee?,98,9781976087097,eng,1902,https://covers.openlibrary.org/b/id/1979059-L.jpg,https://openlibrary.org/works/OL262358W
Moralia,Plutarch,"Ancient Ethics, Ancient Philosophy, Animals (Philosophy)",4.2,15.0,PLUTARCH'S knowledge of Egyptology was not profound.,301,2254003991,grc,1500,https://covers.openlibrary.org/b/id/5788251-L.jpg,https://openlibrary.org/works/OL723491W
The Razor's Edge,William Somerset Maugham,"World War, 1914-1918, Fiction, Veterans",4.0,22.0,No description available,320,9780434456123,eng,1944,https://covers.openlibrary.org/b/id/97505-L.jpg,https://openlibrary.org/works/OL505944W
"Tom Sawyer, Detective",Mark Twain,"Fiction, Tom Sawyer (Fictitious character), American Authors",4.181818,11.0,"Well, it was the next spring after me and Tom Sawyer set our old nigger Jim free, the time he was chained up for a runaway slave down there on Tom's uncle Silas's farm in Arkansaw.",92,1980568308,spa,1897,https://covers.openlibrary.org/b/id/8923621-L.jpg,https://openlibrary.org/works/OL54147W
Het Achterhuis,Anne Frank,"autobiographies, ethnic relations, Dutch literature",4.140625,128.0,"On August 16, 1933, the following entry was made at the Amsterdam Public Registration Office: ""Frank, Otto Heinrich, originally from Frankfurt-am-Main.""",285,840142108X,ukr,1944,https://covers.openlibrary.org/b/id/8584021-L.jpg,https://openlibrary.org/works/OL266178W
Orthodoxy,Gilbert Keith Chesterton,"Apologetics, Christianity, History",4.1666665,12.0,THE only possible excuse for this book is that it is an answer to a challenge.,156,9798496863353,eng,1874,https://covers.openlibrary.org/b/id/6268135-L.jpg,https://openlibrary.org/works/OL76350W
Down and Out in Paris and London,George Orwell,"Poor, Literature, Fiction",4.16,25.0,"THE Rue du Coq d'Or, Paris, seven in the morning.",224,0141393033,eng,1933,https://covers.openlibrary.org/b/id/5539329-L.jpg,https://openlibrary.org/works/OL1168030W
The Second World War,Winston S. Churchill,"Personal narratives, British, British Personal narratives, Great Britain",3.8333333,12.0,No description available,679,9780736602754,eng,1948,https://covers.openlibrary.org/b/id/7347623-L.jpg,https://openlibrary.org/works/OL134333W
Vincent van Gogh,Vincent van Gogh,"Catalogues raisonnés, Correspondence, Catalogs",4.15,20.0,No description available,116,9783888143267,eng,1914,https://covers.openlibrary.org/b/id/4703873-L.jpg,https://openlibrary.org/works/OL518262W
Schachnovelle,Stefan Zweig,"Chess, Chrestomathies and readers, Fiction",3.9666667,30.0,"Auf dem großen Passagierdampfer, der um Mitternacht von New York nach Buenos Aires abgehen sollte, herrschte die übliche Geschäftigkeit und Bewegung der letzten Stunde.",88,9789750522710,eng,1943,https://covers.openlibrary.org/b/id/5548285-L.jpg,https://openlibrary.org/works/OL28429W
Life on the Mississippi,Mark Twain,"American Authors, Fiction, Historical Fiction",3.8333333,6.0,The Mississippi is well worth reading about.,452,9786074111736,eng,1883,https://covers.openlibrary.org/b/id/9164717-L.jpg,https://openlibrary.org/works/OL53959W
Dubliners,James Joyce,"Daily Express, West Briton, Three Graces",3.871795,78.0,There was no hope for him this time: it was the third stroke.,240,9789626346730,jpn,1914,https://covers.openlibrary.org/b/id/8216412-L.jpg,https://openlibrary.org/works/OL86320W
The Souls of Black Folk,W. E. B. Du Bois,"African Americans, Race relations, History",4.111111,9.0,"En este libro subyacen muchas cuestiones que, estudiadas con paciencia, pueden mostrar el extraño significado de ser negro aquí, en los albores del siglo XX.",203,0353599514,eng,1903,https://covers.openlibrary.org/b/id/6564090-L.jpg,https://openlibrary.org/works/OL28577W
Max Ernst,Max Ernst,"Friends and associates, Kreissparkasse Köln (Germany), Dadaism",3.5,2.0,No description available,163,9783926154354,eng,1956,https://covers.openlibrary.org/b/id/7879121-L.jpg,https://openlibrary.org/works/OL2248600W
Henry Moore,David Sylvester,"Sculpture, British, Catalogues raisonnés, Mothers in art",4.388889,18.0,No description available,119,0853316600,eng,1934,https://covers.openlibrary.org/b/id/1604103-L.jpg,https://openlibrary.org/works/OL1001044W
Bambi,Felix Salten,"Deer, Fiction, Juvenile fiction",3.5833333,12.0,"He came into the world in the middle of the thicket, in one of those little, hidden forest glades which seem to be entirely open but are really screened in on all sides.",207,9781559949163,eng,1923,https://covers.openlibrary.org/b/id/7153939-L.jpg,https://openlibrary.org/works/OL4459213W
Exercitia spiritualia,Saint Ignatius of Loyola,"Spiritual exercises, Meditations, Spiritual retreats",5.0,1.0,No description available,230,0385024363,eng,1548,https://covers.openlibrary.org/b/id/8027976-L.jpg,https://openlibrary.org/works/OL1238284W
Εὐθύφρων / Κρίτων / Φαίδων / Ἀπολογία Σωκράτους,Πλάτων,"Philosophers, Biography, Socrates",4.2,15.0,"Euthyphro: What are you doing at the courthouse, Socrates?",200,9781887250443,eng,1871,https://covers.openlibrary.org/b/id/14390287-L.jpg,https://openlibrary.org/works/OL51784W
Paradise Lost,John Milton,"Bible, Biography, Criticism and interpretation",3.8285713,35.0,"This first book proposes, first in brief, the whole subject: man's disobedience and the loss thereupon of Paradise wherein he was placed; then touches the prime cause of his fall, the serpent, or rather Satan in the serpent, who, revolting from God and drawing to his side many legions of angels, was by the command of God driven out of Heaven with all his crew into the great deep.",333,0198319126,mal,1667,https://covers.openlibrary.org/b/id/5992814-L.jpg,https://openlibrary.org/works/OL810991W
Little House in the Big Woods,Laura Ingalls Wilder,"Juvenile fiction, Ficción juvenil, Frontier and pioneer life",3.962264,53.0,"Once upon a time, sixty years ago, a little girl lived in the Big Woods of Wisconsin, in a little gray house made of logs.",228,9788949140285,eng,1932,https://covers.openlibrary.org/b/id/28677-L.jpg,https://openlibrary.org/works/OL1719746W
Letters to a young poet,Rainer Maria Rilke,"Correspondence, German Authors, 20th century",4.2,25.0,Your letter reached me just a few days ago.,100,141351829X,eng,1656,https://covers.openlibrary.org/b/id/6874224-L.jpg,https://openlibrary.org/works/OL3800761W
The Travels of Marco Polo,Marco Polo,"Description and travel, Voyages and travels, History",3.0,2.0,No description available,376,9781853264733,eng,1818,https://covers.openlibrary.org/b/id/8237917-L.jpg,https://openlibrary.org/works/OL15584860W
Les fleurs du mal,Charles Baudelaire,"Traducciones al español, Translations into Spanish, Translations into English",4.230769,13.0,"Losque, par un decret des puissances supremes,",281,9788416193196,eng,1855,https://covers.openlibrary.org/b/id/8236412-L.jpg,https://openlibrary.org/works/OL1158921W
The Princess and the Goblin,George MacDonald,"Classic Literature, Fantasy, Fiction",3.5,6.0,IT WAS NOT TONY LEMLICH'S HABIT TO SPEND TIME ON THE shooting set of one of the pictures he had written.,185,9781502828354,eng,1872,https://covers.openlibrary.org/b/id/14363454-L.jpg,https://openlibrary.org/works/OL15449W
Essais,"Montaigne, Michel de","Translations into Chinese, Philosophy, French essays",3.75,4.0,No description available,363,2743302224,eng,1600,https://covers.openlibrary.org/b/id/104154-L.jpg,https://openlibrary.org/works/OL1086528W
Black Beauty,Anna Sewell,"Black Beauty, Anna Sewell, Original publication 1877",4.304348,23.0,Ihren 17. Geburtstag hatte sich Vicky Gordon anders vorgestellt.,229,9781530899845,eng,1877,https://covers.openlibrary.org/b/id/5007492-L.jpg,https://openlibrary.org/works/OL15854658W
Manifest der Kommunistischen Partei,Karl Marx,"Communism, Sources, Capitalism",3.5789473,76.0,The history of all hitherto existing society is the history of class struggles.,89,0300123027,ukr,1848,https://covers.openlibrary.org/b/id/11048623-L.jpg,https://openlibrary.org/works/OL629052W
Meditations,Marcus Aurelius,"Early works to 1800, Philosophy, Stoics",4.051095,137.0,"Her reverence for the divine, her generosity, her inability not only to do wrong but even to conceive of doing it.",203,9781511532969,grc,1626,https://covers.openlibrary.org/b/id/211529-L.jpg,https://openlibrary.org/works/OL1317211W
King Henry V,William Shakespeare,"Drama, open_syllabus_project, History",3.7857144,14.0,"Following the battle of Shrewsbury (where King Henry and Prince Hal were victorious and Hotspur killed), Rumor spreads the false information that Hotspur was the victor and the King and Prince were killed.",166,9789626342053,eng,1600,https://covers.openlibrary.org/b/id/7420215-L.jpg,https://openlibrary.org/works/OL361466W
Sonnets,William Shakespeare,"English Sonnets, History and criticism, Bibliography",4.1666665,12.0,"From the fairest creatures we desire increase,",168,9789504359470,ukr,1609,https://covers.openlibrary.org/b/id/8222090-L.jpg,https://openlibrary.org/works/OL362706W
Мы,Евгений Иванович Замятин,"Literature: Texts, Untranslated Fiction - General, Literature - Classics / Criticism",4.02439,41.0,"I shall simply copy, word for word, the proclamation that appeared today in the One State Gazette: The building of the Integral will be completed in one hundred and twenty days.",224,9781101066805,srp,1924,https://covers.openlibrary.org/b/id/5484189-L.jpg,https://openlibrary.org/works/OL10215W
John Donne Poetry,John Donne,"Criticism and interpretation, English Christian literature, Correspondence",4.6666665,6.0,"Away thou fondling motley humourist,",274,0006279236,eng,1633,https://covers.openlibrary.org/b/id/8238738-L.jpg,https://openlibrary.org/works/OL15420303W
A Farewell to Arms,Ernest Hemingway,"Cuentos de guerra, World War I, 1914-1918, Open Library Staff Picks",3.637931,58.0,No description available,332,9780785926276,eng,1929,https://covers.openlibrary.org/b/id/7226599-L.jpg,https://openlibrary.org/works/OL63072W
Ab urbe condita,Titus Livius,"Antiquities, Bibliography, Biography",4.285714,7.0,"I consider myself at liberty to commence what is only a section of my history with a prefatory remark such as most writers have placed at the very beginning of their works, namely, that the war I am about to describe is the most memorable of any that have ever been waged, I mean the war which the Carthaginians, under Hannibal's leadership, waged with Rome.",253,8485202325,eng,1481,https://covers.openlibrary.org/b/id/6657951-L.jpg,https://openlibrary.org/works/OL1261147W
Paul Klee,Paul Klee,"Catalogues raisonnés, Psychology, Städtische Galerie im Lenbachhaus München",3.7333333,15.0,No description available,134,9783775703154,eng,1930,https://covers.openlibrary.org/b/id/13174486-L.jpg,https://openlibrary.org/works/OL972930W
Cyrano de Bergerac,Edmond Rostand,"Drama, History, French Authors",4.25,24.0,The auditorium of the Hôtel de Bourgogne in 1640.,236,0344021475,eng,1821,https://covers.openlibrary.org/b/id/8236320-L.jpg,https://openlibrary.org/works/OL551668W
The Jungle Book,Rudyard Kipling,"Jungles, Fiction, Juvenile fiction",4.081081,37.0,It was seven o'clock on a warm evening in India's Seeonee hills when Father Wolf woke from his day's rest.,192,9798412954561,eng,1893,https://covers.openlibrary.org/b/id/3344204-L.jpg,https://openlibrary.org/works/OL19870W
Leaves of Grass,Walt Whitman,"Manuscripts, United States Civil War, 1861-1865, Gay poets",3.8888888,9.0,AMERICA does not repel the past or what it has produced under its forms or amid other politics or the idea of castes or the old religious . . . . accepts the lesson with calmness . . . is not so impatient as has been supposed that the slough still sticks to opinions and manners and literature while the life which served its requirements has passed into the new life of the new forms . . . perceives that the corpse is slowly borne from the eating and sleeping rooms of the house. . . perceives that it waits a little while in the door . . . that it was fittest for its days . . . that its action has descended to the stalwart and wellshaped heir who approaches . . . and that he shall be fittest for his days.,384,9781503280052,eng,1855,https://covers.openlibrary.org/b/id/9000447-L.jpg,https://openlibrary.org/works/OL16333W
Lord Jim,Joseph Conrad,"Fiction, British, Officers",3.7857144,14.0,"HE WAS an inch, perhaps two, under six feet, powerfully built, and he advanced straight at you with a slight stoop of the shoulders, head forward, and a fixed from-under stare which made you think of a charging bull.",361,9798513620624,eng,1900,https://covers.openlibrary.org/b/id/8236295-L.jpg,https://openlibrary.org/works/OL38684W
