title,author,rating,rating_count,description,isbn,image,book_url,pages,published_year,language,genres,source
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,9943135.0,,9780439023481.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games,374.0,,,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction",web_scraping
Pride and Prejudice,Jane Austen,4.3,4821169.0,,9781441341709.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,279.0,,,"Classics, Romance, Fiction, Historical Fiction, Historical",web_scraping
To Kill a Mockingbird,Harper Lee,4.26,6905680.0,,9780060935467.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,323.0,,,"Classics, Fiction, Historical Fiction, School, Literature",web_scraping
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3805184.0,,9780439358064.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1627045351i/58613451.jpg,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix,896.0,,,"Fantasy, Fiction, Young Adult, Harry Potter, Magic",web_scraping
The Book Thief,Markus Zusak,4.39,2887607.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,https://www.goodreads.com/book/show/19063.The_Book_Thief,592.0,,,"Historical Fiction, Fiction, Young Adult, Classics, Historical",web_scraping
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,7330984.0,,9780316015844.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865.jpg,https://www.goodreads.com/book/show/41865.Twilight,498.0,,,"Fantasy, Young Adult, Romance, Fiction, Vampires",web_scraping
Animal Farm,George Orwell,4.02,4572881.0,,9780451526342.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,https://www.goodreads.com/book/show/170448.Animal_Farm,141.0,,,"Classics, Fiction, Dystopia, Fantasy, School",web_scraping
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.62,144569.0,,9780345538376.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,1728.0,,,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy",web_scraping
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,709126.0,,9780066238500.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,767.0,,,"Fantasy, Classics, Fiction, Young Adult, Childrens",web_scraping
The Fault in Our Stars,John Green,4.12,5738126.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085.jpg,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,313.0,,,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction",web_scraping
The Picture of Dorian Gray,Oscar Wilde,4.13,1888735.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297.jpg,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,272.0,,,"Classics, Fiction, Horror, Gothic, Fantasy",web_scraping
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3448544.0,,9780786838653.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187.jpg,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,377.0,,,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade",web_scraping
Wuthering Heights,Emily Brontë,3.9,2075739.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185.jpg,https://www.goodreads.com/book/show/6185.Wuthering_Heights,464.0,,,"Classics, Fiction, Romance, Gothic, Historical Fiction",web_scraping
The Giving Tree,Shel Silverstein,4.39,1238108.0,,9780060256654.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1769901237i/370493.jpg,https://www.goodreads.com/book/show/370493.The_Giving_Tree,64.0,,,"Childrens, Classics, Fiction, Picture Books, Poetry",web_scraping
The Perks of Being a Wallflower,Stephen Chbosky,4.24,2006843.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628.jpg,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,213.0,,,"Young Adult, Fiction, Contemporary, Classics, Coming Of Age",web_scraping
Gone with the Wind,Margaret Mitchell,4.31,1257974.0,,9780446365383.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,1037.0,,,"Classics, Historical Fiction, Fiction, Romance, Historical",web_scraping
The Little Prince,Antoine de Saint-Exupéry,4.33,2488745.0,,9780152023980.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg,https://www.goodreads.com/book/show/157993.The_Little_Prince,96.0,,,"Classics, Fiction, Fantasy, Childrens, France",web_scraping
Jane Eyre,Charlotte Brontë,4.16,2330437.0,,9780142437209.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,https://www.goodreads.com/book/show/10210.Jane_Eyre,532.0,,,"Classics, Fiction, Romance, Gothic, Historical Fiction",web_scraping
The Great Gatsby,F. Scott Fitzgerald,3.93,5935549.0,,9780743273565.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1738790966i/4671.jpg,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,180.0,,,"Classics, Fiction, School, Historical Fiction, Romance",web_scraping
Crime and Punishment,Fyodor Dostoevsky,4.29,1086646.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,671.0,,,"Classics, Fiction, Russia, Russian Literature, Literature",web_scraping
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.94,2528748.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968.jpg,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,489.0,,,"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction",web_scraping
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,610458.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213.jpg,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,239.0,,,"Classics, Fantasy, Fiction, Childrens, Young Adult",web_scraping
