Title,Author,Genre,Rating_Average,Rating_Counts,Description,Page_Numbers,ISBN,Language,Published_Year,Cover_URL,Book_Link
The Iron Heel,Jack London,"Revolutions, fiction, Oligarchy, fiction, Utopias,  fiction",3.5,20.0,"THE SOFT summer wind stirs the redwood, and Wild-Water ripples sweet cadences over its mossy stones.",287,1548921947,eng,1907,https://covers.openlibrary.org/b/id/8243314-L.jpg,https://openlibrary.org/works/OL74502W
Игрокъ,Фёдор Михайлович Достоевский,"Translations into English, Continental european fiction (fictional works by one author), Gamblers",3.7142856,7.0,At length I returned from two weeks leave of absence to find that my patrons had arrived three days ago in Roulettenberg.,191,9798630153272,eng,1900,https://covers.openlibrary.org/b/id/3293339-L.jpg,https://openlibrary.org/works/OL166923W
Brood of the Witch-Queen,Sax Rohmer,"Fantasy, Fiction, Horror",4.6,5.0,No description available,206,1985805111,eng,1924,https://covers.openlibrary.org/b/id/2011286-L.jpg,https://openlibrary.org/works/OL2288676W
The Napoleon of Notting Hill,Gilbert Keith Chesterton,"Fiction, Classic Literature, Science Fiction",4.571429,7.0,No description available,160,1445508265,eng,1904,https://covers.openlibrary.org/b/id/6980094-L.jpg,https://openlibrary.org/works/OL76473W
Emily of New Moon,Lucy Maud Montgomery,"Juvenile fiction, Child authors, Orphans",3.6666667,9.0,"The house in the hollow was ""a mile from anywhere""-so Maywood people said.",339,1548912425,eng,1923,https://covers.openlibrary.org/b/id/14638065-L.jpg,https://openlibrary.org/works/OL77781W
The Vampyre,John William Polidori,"Fiction, Incest, Vampires",3.5833333,12.0,No description available,55,1517322030,fre,1819,https://covers.openlibrary.org/b/id/4871002-L.jpg,https://openlibrary.org/works/OL3625242W
The Sea Fairies,L. Frank Baum,"Children's stories, Juvenile fiction, Classic Literature",3.3333333,3.0,"""Nobody,"" said Cap'n Bill solemnly, ""ever sawr a mermaid an' lived to tell the tale.""",130,9781098604226,rus,1911,https://covers.openlibrary.org/b/id/1814237-L.jpg,https://openlibrary.org/works/OL262384W
Lilith,George MacDonald,"Fiction, romance, fantasy, Fiction, general, Non-Classifiable",3.2,5.0,"I had just finished my studies at Oxford, and was taking a brief holiday from work before assuming definitely the management of the estate.",270,1406530042,fre,1895,https://covers.openlibrary.org/b/id/14364546-L.jpg,https://openlibrary.org/works/OL15437W
The Enchanted Castle,Edith Nesbit,"Fiction, Fantasy, Magic",4.181818,11.0,"There were three of them-Jerry, Jimmy, and Kathleen. Of course, Jerry's name was Gerald, and not Jeremiah, whatever you may think; and Jimmy's name was James; and Kathleen was never called by her name at all, but Cathy, or Catty, or Puss Cat, when her brothers were pleased with her, and Scratch Cat when they were not pleased.",186,9781548958534,spa,1907,https://covers.openlibrary.org/b/id/6644514-L.jpg,https://openlibrary.org/works/OL99541W
Pollyanna,Eleanor Hodgman Porter,"Aunts, Cheerfulness, Classic Literature",3.8095238,21.0,Miss Polly Harrington entered her kitchen a little hurriedly this June morning.,194,1532762569,eng,1912,https://covers.openlibrary.org/b/id/902113-L.jpg,https://openlibrary.org/works/OL2775807W
