Genre,Frequency
Fiction,724
Classics,250
Fantasy,187
Young Adult,141
Historical Fiction,121
Mystery,106
Biography,102
Romance,99
Thriller,78
Literature,67
Contemporary,58
fiction,57
History,56
Book Club,54
Science Fiction,49
Childrens,46
Horror,43
Mystery Thriller,41
Crime,37
Audiobook,33
Juvenile fiction,32
Dystopia,32
Historical,31
Social life and customs,31
Poetry,30
Philosophy,30
Nonfiction,28
Adventure,27
Classic Literature,26
Paranormal,25
Novels,22
Drama,22
Open Library Staff Picks,20
Early works to 1800,20
Translations into English,19
general,18
School,18
Middle Grade,18
Hercule Poirot (Fictitious character),18
Private investigators,18
Vampires,17
Humor,17
Mythology,17
Description and travel,16
Animals,15
Travel,15
American Authors,14
Magic,13
Picture Books,12
Correspondence,12
Politics and government,12
Children's stories,11
Literary Fiction,11
Memoir,11
Biographies,11
New York Times bestseller,11
Detective and mystery stories,10
Religion,10
biography,10
France,10
Plays,10
American,10
Gothic,10
Psychology,10
Fairy tales,10
Short Stories,9
Children's fiction,9
Realistic Fiction,9
Jane Marple (Fictitious character),9
Murder,9
War,9
High Fantasy,9
Epic Fantasy,9
Art,8
Juvenile literature,8
English Detective and mystery stories,8
English,8
British,8
Urban Fantasy,8
Adult,8
Russia,8
Feminism,8
Harry Potter,8
Family,7
Adventure and adventurers,7
Holocaust,7
Continental european fiction (fictional works by one author),7
Africa,7
Women detectives,7
Diaries,7
Science Fiction Fantasy,7
Shakespeare,7
Readers,7
Chick Lit,6
American fiction (fictional works by one author),6
LGBT,6
Social conditions,6
Americans,6
Magical Realism,6
Poor,6
Man-woman relationships,6
Agatha Christie,6
English Authors,6
African Americans,6
Bibliography,6
Utopias,5
Death,5
Women,5
Childhood and youth,5
Romans,5
Princes,5
British and irish fiction (fictional works by one author),5
Jews,5
Biography & Autobiography,5
Science,5
historical,5
1939-1945,5
Case studies,5
Russian Literature,5
American Novelists,5
Spirituality,5
Criticism and interpretation,5
Noir,5
Adventure stories,5
Christianity,5
Romantasy,5
World War,5
Japan,5
Christian,5
Fantasy fiction,5
history,5
Authors,5
Jewish (1939-1945),4
China,4
Communism,4
horror fiction,4
20th century,4
science fiction,4
Juvenile Fiction,4
mystery & detective,4
United States,4
Graphic Novels,4
Time Travel,4
Married people,4
Catalogues raisonnés,4
Mental Health,4
Classical Mythology,4
Spanish language books,4
Love,4
Mate selection,4
Dragons,4
fantasy,4
Young Adult Fantasy,4
Police,4
Married women,4
English literature,4
Poetry (poetic works by one author),4
Knights and knighthood,4
Manuscripts,4
Ficción,4
Comics,4
Autobiography,4
Political science,4
Japanese Literature,4
Voyages and travels,4
Kings and rulers,4
Young women,4
Anecdotes,4
Facsimiles,4
Friends and associates,3
Frontier and pioneer life,3
Catalogs,3
19th century,3
Art collections,3
Ghosts,3
open_syllabus_project,3
Sources,3
Plague,3
Artists,3
foster homes,3
Anarchists,3
Humorous stories,3
Translations into Russian,3
comedy,3
Belgians,3
Sociology,3
Brothers and sisters,3
thrillers,3
Fiction in English,3
English language,3
Spanish fiction,3
Inheritance and succession,3
German fiction,3
Superintendent Battle (Fictitious character),3
Ciencia-ficción,3
Families,3
Arthurian romances,3
Boarding schools,3
Cyrus,3
Abused children,3
short stories (single author),3
Economics,3
Young men,3
Family life,3
Civilization,3
orphans,3
Juvenile audience,3
English Novelists,3
Friendship,3
adventure and adventurers,3
Business,3
Criminals,3
Children,3
English Fantasy fiction,3
Farm life,3
Intellectual life,3
Philosophers,3
Auschwitz (Concentration camp),3
Slavery,3
True Crime,3
Air pilots,3
Greek Mythology,3
BDSM,3
Ireland,3
Percy Jackson,3
Self Help,3
Westerns,3
Coming Of Age,3
Erotica,3
Dogs,3
Criticism,2
Botany,2
Suspense,2
Elves,2
Enemies To Lovers,2
Sexual dominance and submission,2
Sexual behavior,2
,2
Scientists,2
Serial murderers,2
Kidnapping,2
humorous stories,2
German Literature,2
Printers,2
Anarchism,2
Greco-Roman,2
World war,2
